project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
leosam1024_tvbox-mv,9.93,3.69,249,267,618,690,128,145
mohaghighi_covid19-web-application,43.88,60.0,84,117,159,265,76,97
lyubenblagoev_postfix-rest-server,28.93,13.53,395,531,740,1106,314,446
mrgraversen_minecraft-rcon,21.51,21.1,328,433,793,1035,281,378
micw_tibber-pulse-reader,65.49,52.08,198,372,381,866,90,190
jordihofc_estudos-desafio-picpay-backend,69.72,60.0,32,91,66,235,28,81
gabrieldim_email-sender-spring-boot,27.78,0.0,3,6,13,20,3,6
koushikkothagal_spring-boot-security,88.42,0.0,4,10,5,24,4,10
ebay_digital-signature-verification-ebay-api,67.22,61.11,41,83,118,338,18,42
rayokota_kafka-connect-jsonata,0.0,0.0,167,167,378,378,43,43
abuijze_bike-rental-demo,4.51,0.0,84,91,122,135,74,81
agmonk_merge-gf-assets,0.09,0.0,357,358,488,489,148,149
iwamih31_actualresults,0.25,0.0,629,638,1960,1969,352,361
spullara_interviewcode,98.19,94.19,6,86,5,285,1,43
strimzi_kafka-env-var-config-provider,91.49,0.0,1,7,2,15,1,7
cyebukayire_springboot-backend,57.02,0.0,9,15,17,32,9,15
fengyu-008_erp,4.18,0.0,220,241,610,634,203,224
snowflake-labs_snowflake-hl7v2-parsing,0.0,0.0,25,25,122,122,18,18
selimhorri_perform-manual-tests,33.7,21.15,52,70,19,32,26,44
codingspecialist_springboot-jpa-blog,2.0,0.0,505,514,305,309,288,297
msmirnov2407_filmorate,33.64,7.95,135,194,357,558,92,150
nejckorasa_s3-stream-unzip,59.65,35.0,82,155,78,317,27,85
mikhaeltatischev_java-filmorate,30.27,6.25,123,173,277,429,107,157
vikash-kumar01_demo-counter-app,29.41,0.0,2,4,5,8,2,4
raisars_java-filmorate,45.42,18.75,98,165,212,406,74,141
bulinha_residencia-serratec-music-manager-api,16.8,0.0,345,382,690,796,277,314
valentinabuddha_java-filmorate,3.24,6.25,115,126,237,248,100,110
professorisidro_isilive_listamercado_back,17.82,10.0,57,73,94,113,47,63
ctkqiang_boss_zhipin_pachong,5.37,0.0,77,89,269,292,40,52
gabrieldim_pdf-generator-spring-boot,12.37,0.0,3,6,25,30,3,6
silvanogpm_spring-boot-jwt-boilerplate,45.69,20.83,258,452,295,561,217,404
victor-borisov_java-filmorate,44.78,6.15,245,389,122,332,126,267
kymotz_mdkiller,85.87,69.8,76,216,56,356,12,81
rodrigorahman_spring-boot-com-mysql,8.17,0.0,34,38,80,89,27,31
devsuperior_aulao005,46.65,0.0,33,44,60,96,19,30
innoq_cookie-based-session-springboot-app,69.58,64.71,31,76,61,194,21,59
lenve_generate_code,5.71,0.0,63,67,155,164,55,59
kriscfoster_spring-boot-testing-pyramid,83.87,0.0,1,6,2,9,1,6
ddezoysa_keycloak-springboot-microservice,73.44,0.0,5,12,6,21,5,12
alek-sys_spring-functional-microframework,71.59,50.0,5,12,9,24,2,9
raviyasas_springboot-gcs-demo,3.43,0.0,143,152,115,124,66,75
e92edvin_payment-gateway,19.61,0.0,24,31,28,35,21,28
ideaujetbrains_idea-demo-devcontainers,37.5,0.0,1,2,2,3,1,2
martinachov_hexagonal-architecture-ddd-springboot,12.53,0.0,68,79,54,65,67,78
jreijn_demo-micrometer-prometheus-grafana,16.67,0.0,5,7,10,12,5,7
jsantos-examples_flexpag-desafio-backend,37.5,0.0,1,2,2,3,1,2
mikeascott_spring-todo-list,4.01,0.0,31,35,72,76,30,34
kyungseo_project-web-starter,15.76,1.04,2519,2759,4746,5602,1598,1835
sfmohassel_spring-boot-mongodb-docker-compose-starter,19.44,0.0,16,20,28,36,14,18
jochenchrist_spring-boot-access-logs-demo,72.34,0.0,2,8,4,14,2,8
